permno,ticker,date,price,ret,market_cap,eps,eps_date,eps_announced,trailing_pe,expected_eps,median_eps,num_analysts,forecast_date,forward_pe
85348,YUM,2003-10-31,34.14,0.1526,10042383.42,0.955,2002-12-31,2003-02-10,35.74869109947644,1.01,1.01,16.0,2003-10-16,33.801980198019805
85348,YUM,2003-11-28,34.49,0.010252,10145336.97,0.955,2002-12-31,2003-02-10,36.1151832460733,1.02,1.01,15.0,2003-11-20,33.81372549019608
85348,YUM,2003-12-31,34.4,-0.002609,10118863.2,0.955,2002-12-31,2003-02-10,36.02094240837696,1.02,1.01,16.0,2003-12-18,33.72549019607843
85348,YUM,2004-01-30,33.91,-0.014244,9974728.229999999,0.955,2002-12-31,2003-02-10,35.50785340314136,1.02,1.01,17.0,2004-01-15,33.245098039215684
85348,YUM,2004-02-27,37.03,0.092008,10892485.59,1.03,2003-12-31,2004-02-11,35.95145631067961,1.14,1.14,17.0,2004-02-19,32.482456140350884
85348,YUM,2004-03-31,37.99,0.025925,11017289.950000001,1.03,2003-12-31,2004-02-11,36.883495145631066,1.14,1.14,16.0,2004-03-18,33.324561403508774
85348,YUM,2004-04-30,38.79,0.021058,11226058.74,1.03,2003-12-31,2004-02-11,37.66019417475728,1.14,1.15,16.0,2004-04-15,34.026315789473685
85348,YUM,2004-05-28,37.5,-0.033256,10852725.0,1.03,2003-12-31,2004-02-11,36.407766990291265,1.15,1.16,14.0,2004-05-20,32.608695652173914
85348,YUM,2004-06-30,37.22,-0.007467,10771691.32,1.03,2003-12-31,2004-02-11,36.13592233009709,1.15,1.16,16.0,2004-06-17,32.36521739130435
85348,YUM,2004-07-30,38.39,0.034121,11154905.52,1.03,2003-12-31,2004-02-11,37.271844660194176,1.17,1.17,16.0,2004-07-15,32.81196581196581
85348,YUM,2004-08-31,39.71,0.034384,11538455.28,1.03,2003-12-31,2004-02-11,38.55339805825243,1.17,1.17,16.0,2004-08-19,33.940170940170944
85348,YUM,2004-09-30,40.66,0.023924,11814494.879999999,1.03,2003-12-31,2004-02-11,39.4757281553398,1.17,1.17,16.0,2004-09-16,34.75213675213675
85348,YUM,2004-10-29,43.5,0.072307,12742498.5,1.03,2003-12-31,2004-02-11,42.23300970873786,1.18,1.18,16.0,2004-10-14,36.86440677966102
85348,YUM,2004-11-30,45.4,0.043678,13299067.4,1.03,2003-12-31,2004-02-11,44.07766990291262,1.18,1.18,18.0,2004-11-18,38.47457627118644
85348,YUM,2004-12-31,47.18,0.039207,13820484.58,1.03,2003-12-31,2004-02-11,45.80582524271845,1.18,1.18,18.0,2004-12-16,39.983050847457626
85348,YUM,2005-01-31,46.35,-0.015473,13577351.85,1.03,2003-12-31,2004-02-11,45.0,1.18,1.18,19.0,2005-01-20,39.279661016949156
85348,YUM,2005-02-28,48.78,0.052427,14213516.4,1.18,2004-12-31,2005-02-01,41.33898305084746,1.31,1.31,20.0,2005-02-17,37.23664122137404
85348,YUM,2005-03-31,51.81,0.062116,15096397.8,1.18,2004-12-31,2005-02-01,43.906779661016955,1.31,1.31,20.0,2005-03-17,39.54961832061069
85348,YUM,2005-04-29,46.96,-0.091681,13606472.16,1.18,2004-12-31,2005-02-01,39.79661016949153,1.32,1.31,19.0,2005-04-14,35.57575757575758
85348,YUM,2005-05-31,51.29,0.092206,14861072.34,1.18,2004-12-31,2005-02-01,43.46610169491525,1.31,1.31,19.0,2005-05-19,39.15267175572519
85348,YUM,2005-06-30,52.08,0.015403,15089971.68,1.18,2004-12-31,2005-02-01,44.13559322033898,1.31,1.31,19.0,2005-06-16,39.75572519083969
85348,YUM,2005-07-29,52.35,0.007392,14941422.9,1.18,2004-12-31,2005-02-01,44.36440677966102,1.31,1.31,19.0,2005-07-14,39.961832061068705
85348,YUM,2005-08-31,47.38,-0.094938,13522915.32,1.18,2004-12-31,2005-02-01,40.15254237288136,1.31,1.31,16.0,2005-08-18,36.16793893129771
85348,YUM,2005-09-30,48.41,0.021739,13816891.739999998,1.18,2004-12-31,2005-02-01,41.02542372881356,1.31,1.31,16.0,2005-09-15,36.95419847328244
85348,YUM,2005-10-31,50.87,0.053192,14399363.94,1.18,2004-12-31,2005-02-01,43.110169491525426,1.32,1.32,16.0,2005-10-20,38.53787878787878
85348,YUM,2005-11-30,48.79,-0.040889,13810594.98,1.18,2004-12-31,2005-02-01,41.347457627118644,1.32,1.32,16.0,2005-11-17,36.96212121212121
85348,YUM,2005-12-30,46.88,-0.039147,13269946.56,1.18,2004-12-31,2005-02-01,39.728813559322035,1.32,1.32,14.0,2005-12-15,35.515151515151516
85348,YUM,2006-01-31,49.47,0.057701,14003077.14,1.18,2004-12-31,2005-02-01,41.92372881355932,1.32,1.32,11.0,2006-01-19,37.47727272727273
85348,YUM,2006-02-28,47.7,-0.035779,13502057.4,1.27,2005-12-31,2006-02-06,37.55905511811024,1.4,1.4,16.0,2006-02-16,34.07142857142858
85348,YUM,2006-03-31,48.86,0.024319,13358128.56,1.27,2005-12-31,2006-02-06,38.47244094488189,1.4,1.4,16.0,2006-03-16,34.9
85348,YUM,2006-04-28,51.68,0.06007,14129105.28,1.27,2005-12-31,2006-02-06,40.69291338582677,1.4,1.4,17.0,2006-04-20,36.91428571428572
85348,YUM,2006-05-31,50.4,-0.024768,13706380.799999999,1.27,2005-12-31,2006-02-06,39.68503937007874,1.42,1.42,17.0,2006-05-18,35.49295774647887
85348,YUM,2006-06-30,50.27,-0.002579,13671027.040000001,1.27,2005-12-31,2006-02-06,39.58267716535433,1.42,1.42,17.0,2006-06-15,35.40140845070423
85348,YUM,2006-07-31,45.0,-0.10185,12182625.0,1.27,2005-12-31,2006-02-06,35.43307086614173,1.42,1.42,17.0,2006-07-20,31.690140845070424
85348,YUM,2006-08-31,48.88,0.086222,13233038.0,1.27,2005-12-31,2006-02-06,38.488188976377955,1.42,1.42,16.0,2006-08-17,34.42253521126761
